snow.year,year,snowmelt,snowpack
197475,1975,157,1073
197576,1976,135,966
197677,1977,116,474
197778,1978,155,1387
197879,1979,152,1346
197980,1980,158,1542
198081,1981,119,647
198182,1982,152,1101
198283,1983,160,1278
198384,1984,155,1382
198485,1985,145,1163
198586,1986,149,1384
198687,1987,132,986
198788,1988,135,925
198889,1989,132,1094
198990,1990,138,964
199091,1991,142,1076
199192,1992,123,692
199293,1993,156,1469
199394,1994,140,954
199495,1995,170,1641
199596,1996,140,1200
199697,1997,152,1498
199798,1998,140,1171
199899,1999,145,1144
199900,2000,130,858
200001,2001,134,928
200102,2002,115,653
200203,2003,142,991
200304,2004,128,1016
200405,2005,146,1210
200506,2006,132,981
200607,2007,121,883
200708,2008,152,1369
200809,2009,131,1107
200910,2010,132,1120
201011,2011,158,1492
201112,2012,113,640
201213,2013,135,788
201314,2014,146,1177
201415,2015,127,852
201516,2016,139,837
201617,2017,144,978
201718,2018,125,490
201819,2019,157,967
201920,2020,129,602
202021,2021,127,561
202122,2022,132,696
202223,2023,146,921
202324,2024,139,763
202425,2025,124,574
202526,2026,105,NA
