year,snow.year,snowmelt.doy,spring.mean.temp,winterspring.precip,spring.weather.n,summer.mean.temp,summer.precip.mm.cb,summer.weather.n,fall.mean.temp,fall.precip.mm.cb,fall.weather.n,winter.mean.temp,csi,winter.weather.n
1974,197374,NA,0.208888889,0,92,11.03081395,106.8,92,NA,NA,NA,-14.87288136,NA,59
1975,197475,157,-1.85,0,92,10.63846154,107.7,92,2.145054945,109.4,91,-11.74222222,28.9,90
1976,197576,135,0.008791209,439.928,92,12.07,107.3,92,2.003448276,95,91,-11.00277778,125.9,91
1977,197677,116,1.917741935,251.968,92,13.2173913,111,92,2.580113636,77.9,91,-8.537096774,400.5,90
1978,197778,155,1.153278689,683.768,92,12.81048387,63.9,92,3.833898305,97,91,-8.829444444,39.1,90
1979,197879,152,-0.590659341,709.168,92,9.646052632,49.1,92,3.442307692,121.3,91,-12.74222222,82,90
1980,197980,158,-2.740659341,782.066,92,11.7875,52.9,92,1.793406593,107.5,91,-11.20955056,117.4,91
1981,198081,119,1.546195652,279.4,92,12.59941176,97.1,92,2.657692308,89.2,91,-7.17,189.7,90
1982,198182,152,-0.695108696,630.682,92,12.20434783,150.4,92,4.218681319,118.2,91,-10.27277778,83.05,90
1983,198283,160,-0.666847826,506.73,92,12.90380435,143.5,92,1.654945055,155.7,91,-9.632777778,43.65,90
1984,198384,155,-1.116847826,650.494,92,12.67722222,223,92,3.71978022,160.5,91,-12.65934066,7.8,91
1985,198485,145,1.176630435,551.18,92,12.29388889,106.4,92,1.348901099,175.9,91,-11.29,0,90
1986,198586,149,1.293478261,622.3,92,12.33695652,141.2,92,2.112087912,298.1,91,-10.28888889,24.95,90
1987,198687,132,-0.054891304,329.438,92,12.21032609,142.2,92,1.73,220.6,91,-11.15944444,0,90
1988,198788,135,0.120652174,493.522,92,13.20706522,141,92,2.896153846,96,91,-11.22747253,166.65,91
1989,198889,132,2.392857143,574.294,92,12.4,154.8,92,2.259340659,153.9,91,-13.40277778,0,90
1990,198990,138,2.061956522,487.426,92,12.70543478,157.8,92,2.803846154,92.9,91,-10.70666667,122.9,90
1991,199091,142,-0.505978261,578.104,92,12.26521739,159.1,92,3.208241758,190.2,91,-12.49666667,42.45,90
1992,199192,123,2.820108696,282.448,92,11.55543478,188.3,92,2.13956044,181.5,91,-11.81318681,3.05,91
1993,199293,156,-0.255434783,806.704,92,11.57119565,121.3,92,1.45989011,105,91,-10.79722222,4.75,90
1994,199394,140,0.973369565,483.362,92,13.44782609,62.8,92,0.906043956,213.9,91,-12.81,79.5,90
1995,199495,170,-1.02173913,926.846,92,11.93532609,134.8,92,2.171428571,186,91,-9.454444444,32.15,90
1996,199596,140,0.498369565,702.564,92,12.9326087,110.9,92,3.157692308,146.6,91,-10.02692308,74.2,91
1997,199697,152,-0.005978261,774.7,92,12.3673913,116.3,92,2.298901099,181.3,91,-11.74222222,37.7,90
1998,199798,140,-0.866847826,487.68,92,12.3951087,131.6,92,2.150549451,192.7,91,-11.99388889,48.8,90
1999,199899,145,0.4625,586.486,92,12.51467391,201.1,92,3.407692308,152.3,91,-9.395,24.95,90
2000,199900,130,1.805978261,488.95,92,13.28804348,184.8,92,3.307692308,112.9,91,-9.028571429,183.95,91
2001,200001,134,1.875,470.408,92,13.05326087,200.7,92,2.12032967,102.9,91,-10.54333333,51.45,90
2002,200102,115,0.645108696,261.366,92,13.52554348,83.7,92,3.881318681,149.9,91,-12.64722222,26,90
2003,200203,142,0.84673913,425.958,92,13.33695652,140.6,92,1.234065934,228.5,91,-10.97,8.35,90
2004,200304,128,2.270652174,421.132,92,11.76195652,122.6,92,3.07967033,163,91,-11.8456044,24.2,91
2005,200405,146,0.06576087,586.232,92,12.41141304,115.4,92,3.287362637,177.7,91,-10.52277778,64.9,90
2006,200506,132,1.221195652,479.044,92,13.4173913,196.5,92,3.486263736,176.3,91,-12.93333333,10.3,90
2007,200607,121,1.956521739,334.772,92,13.62554348,91.9,92,1.646703297,178.3,91,-10.22055556,40.85,90
2008,200708,152,-2.440217391,859.79,92,12.81684783,73.1,92,3.984615385,106.2,91,-13.59450549,86.05,91
2009,200809,131,-3.291803279,615.95,92,11.92880435,83.3,92,3.62032967,86.3,91,-10.16111111,103.6,90
2010,200910,132,-0.703804348,557.53,92,13.88858696,136.1,92,2.421428571,128.8,91,-12.9,239.05,90
2011,201011,158,-0.4625,848.868,92,14.07119565,56.5,92,3.302197802,166.7,91,-11.96777778,69,90
2012,201112,113,2.654945055,314.706,92,14.78,115,92,3.292857143,94.7,91,-10.40747126,111.95,91
2013,201213,135,-0.111235955,480.822,92,14.30597826,99.8,92,4.025274725,61.6,91,-12.99715909,181.85,90
2014,201314,146,-0.341208791,659.13,92,13.37472527,91.4,92,2.926404494,179.8,91,-11.39044944,43.15,90
2015,201415,127,1.016483516,454.66,92,12.98736264,164,92,3.714444444,176,91,-8.992696629,9.95,90
2016,201516,139,0.733888889,454.66,92,12.69450549,171.8,92,4.02967033,109,91,-11.64065934,135.3,91
2017,201617,144,0.963586957,699.516,92,13.21685393,88.3,92,4.16978022,85.1,91,-9.505617978,49.5,90
2018,201718,125,1.567582418,323.088,92,13.70597826,125.6,92,4.170555556,121.8,91,-8.392222222,214.35,90
2019,201819,157,-0.063586957,682.752,92,12.96141304,73.2,92,2.512637363,163.7,91,-12.53333333,136.55,90
2020,201920,128,1.720652174,250.19,92,13.62663043,95.9,92,2.623076923,71.8,91,-12.2016129,212.2,31
2021,202021,NA,0.316666667,NA,NA,12.51666667,NA,NA,3.207142857,87.4,91,NA,NA,NA
2022,,,-0.15,,,12.33333333,,,,,,,,
2023,,,-1.383333333,,,11.73333333,,,,,,,,
2024,,,0.25,,,12.26666667,,,,,,,,
2025,,,1.016666667,,,12.33333333,,,,,,,,
2026,,,3.233333333,,,NA,,,,,,,,
